,SPY,IWM,EFA,EEM,VNQ,DBC,IEF,TLT,TIP,SGOV,BIL
2014-08-29,0.1060098621606273,0.06488304712880932,0.04101308358846659,0.11284208029656578,0.10696123613526709,-0.038277019042652294,0.033559360685808115,0.092943905327183,0.027716057220841417,-0.0003272412356899179,-0.0003272412356899179
2014-09-30,0.0641370631972516,-0.036898564088980595,-0.021191217689358666,-0.014474025079254493,0.019062640459018065,-0.10208805369127011,0.015269805555536808,0.05512897001170047,-0.004439344982130444,-0.00021839897436501388,-0.00021839897436501388
2014-10-31,0.08083672330446123,0.06158500286550955,-0.02002749740823323,0.003396997878331365,0.11421063566655681,-0.11132821146869085,0.0300991811893771,0.07875108079647014,0.007093391655001197,-0.0003275386490535215,-0.0003275386490535215
2014-11-28,0.07930257412500208,0.021800391696598753,-0.02431477958434941,-0.028695143927672667,0.11336395012393496,-0.17108865201861123,0.03232475352373476,0.09140880776856514,0.0027009683836428378,-0.0002730936517420235,-0.0002730936517420235
2014-12-31,0.060502228237326594,0.04863096383142618,-0.06129389829036461,-0.04942774320010743,0.1432503711211905,-0.22218789751988943,0.039398955642705236,0.13166659092694594,0.001111828901966233,-0.0004369083828851539,-0.0004369083828851539
2015-01-30,0.037402913590443454,0.013946414602639234,-0.02575637850321616,-0.029979442659600147,0.17438836335136043,-0.2226950071565386,0.07186012223289878,0.2028303185264378,0.028603502909833323,-0.0004915531136119033,-0.0004915531136119033
2015-02-27,0.07293198916747778,0.05722297783275537,0.01843271158360346,0.0030141333720543617,0.08557000339980828,-0.16115883276858184,0.025764977173444226,0.08343416646406937,0.004340857358217071,-0.0005459526575618823,-0.0005459526575618823
2015-03-31,0.04420654281767175,0.07226119080317533,0.00973661304448803,-0.003410785222992513,0.12525983217082054,-0.18666797512933553,0.04474351152729655,0.10607078524328672,0.013322758229396048,-0.0004369344969906708,-0.0004369344969906708
2015-04-30,0.05810727239223629,0.042075036556021794,0.04506236382673384,0.06503822967848283,0.0048382980656446195,-0.0913486293223553,0.019486188379195496,0.029417012203228426,0.007756044157029324,-0.0005462261751157105,-0.0005462261751157105
2015-05-29,0.04152418264404378,0.05438103627452806,0.017625035846094206,-0.00964371842536188,0.013535403911591304,-0.12734306590064037,0.014920612819877638,0.01230490711694987,-0.006227405301350519,-0.0007103519916441259,-0.0007103519916441259
